id, lat,lon,name
1, 48.856416,2.281848,"31 rue Raynouard, Paris, France",
2, 48.851291,2.338784,"7 rue de L'Odéon, Paris, France",
3, 40.7668,73.9707,"820 Fifth Avenue, New York City, New York",
4, 44.618333,-67.744167,"Addison, Maine",
5, -34.929,138.601,"Adelaide, Australia",
6, 37.3094,13.586,"Agrigento, Italy",
7, 53.6764136,10.2378854,"Ahrensburg, Germany",
8, 43.529742,5.447427,"Aix-en-Provence, France",
9, 44.014336,8.1811741,"Alassio, Italy",
10, 45.4253354,8.9448741,"Albairate, Italy",
11, -35.0316512,-60.2802699,"Alberti, Buenos Aires, Argentina",
12, 35.0853336,-106.6055534,"Albuquerque, New Mexico",
13, 31.2000924,29.9187387,"Alexandria, Egypt",
14, 25.4358011,81.846311,"Allahabad, India",
15, 39.5187,75.0919,"Alliance, New Jersey",
16, 41.8492599,-73.5567918,"Amenia, New York",
17, 42.3732216,-72.5198537,"Amherst, Massachusetts",
18, 40.6789893,-73.4170673,"Amityville, New York",
19, 52.3702157,4.8951679,"Amsterdam, Netherlands",
20, 37.5442706,-4.7277528,"Andalusia, Spain",
21, 40.9859,74.7421,"Andover, New Jersey",
22, 30.6006773,117.9249002,"Anhui, China",
2300, 51.2194475,4.4024643,"Antwerp, Belgium",
2400, 40.7928393,17.1011931,"Apulia, Italy",
2500, 10.591925,-74.186103,"Aracataca, Colombia",
2600, -16.4090474,-71.537451,"Arequipa, Peru",
2700, -38.416097,-63.616672,Argentina,
23,42.4153925,-71.1564729,"Arlington, Massachusetts",
24,46.1615793,8.7750131,"Ascona, Switzerland",
25,-25.2637399,-57.575926,"Asuncion, Paraguay",
26,50.0274106,19.2019829,"Auschwitz, Poland",
27,-34.6610756,-58.3669739,"Avellaneda, Argentina",
28,51.837203,-0.266776,"Ayot St Lawrence, United Kingdom",
29,38.8794495,-6.9706535,"Badajoz, Spain",
30,48.7656,8.2285,"Baden-Baden, Germany",
522,48.872622,2.248883,"Bagatelle, France",
31,-38.7183177,-62.2663478,"Bahia Blanca, Argentina",
533,39.2904,76.6122,"Baltimore, Maryland",
33,44.3876119,-68.2039123,"Bar Harbor, Maine",
34,48.231209,4.707771,"Bar-sur-Aube, France",
32,41.3850639,2.1734035,"Barcelona, Spain",
36,48.6343172,7.5252938,"Bas-Rhin, France",
35,47.5595986,7.5885761,"Basel, Switzerland",
37,20.3719163,-76.6297189,"Bayamo, Cuba",
531,49.9456,11.5713,"Bayreuth, Germany",
38,-34.4640891,-58.5347609,"Beccar, Argentina",
39,50.503887,4.469936,Belgium,
40,51.498659,-0.15267,"Belgrave Square, London, United Kingdom",
41,46.122228,1.051593,"Bellac, France",
42,45.9641291,9.2461642,"Bellagio, Lombardy, Italy",
526,40.764236,73.973947,"Bergdorf Goodman's, New York City, New York",
43,37.8715926,-122.272747,"Berkeley, California",
44,52.5200066,13.404954,"Berlin, Germany",
45,34.0736204,-118.4003563,"Beverly Hills, California",
46,43.48,-1.56,"Biarritz, France",
47,4.7109886,-74.072092,"Bogotá, Colombia",
48,44.494887,11.3426162,"Bologna, Italy",
49,44.837789,-0.57918,"Bordeaux, France",
50,42.3600825,-71.0588801,"Boston, Massachusetts",
52,50.725231,1.613334,"Boulogne-sur-Mer, France",
53,41.2675956,-73.4417885,"Branchville, Connecticut",
54,37.931944,-121.695833,"Brentwood, California",
55,51.454513,-2.58791,"Bristol, United Kingdom",
56,49.1950602,16.6068371,"Brno, Czech Republic",
57,51.406025,0.013156,"Bromley, United Kingdom",
58,42.3317642,-71.1211635,"Brookline, Massachusetts",
59,50.8503463,4.3517211,"Brussels, Belgium",
60,44.4267674,26.1025384,"Bucharest, Romania",
61,47.497912,19.040235,"Budapest, Hungary",
62,-34.6036844,-58.3815591,"Buenos Aires, Argentina",
63,42.8864468,-78.8783689,"Buffalo, New York",
64,3.9005079,-76.3021889,"Buga, Colombia",
65,42.733883,25.48583,Bulgaria,
66,41.587565,-3.0668549,"Burgo de Osma-Ciudad de Osma, Spain",
67,42.3439925,-3.696906,"Burgos, Spain",
68,52.2429228,0.7104932,"Bury St Edmunds, United Kingdom",
69,34.8723179,-89.6906396,"Byhalia, Mississippi",
70,30.0444196,31.2357116,"Cairo, Egypt",
71,50.95129,1.858686,"Calais, France",
72,21.3926035,-77.9053182,"Camaguey, Cuba",
73,42.3736158,-71.1097335,"Cambridge, Massachusetts",
74,52.2053,0.1218,"Cambridge, United Kingdom",
560,39.6289,84.6486,"Camden, Ohio",
75,-34.1633346,-58.9592643,"Campana, Buenos Aires, Argentina",
76,-24.907204,-65.6441178,"Campo Quijano, Argentina",
77,43.552849,7.017369,"Cannes, France",
78,10.3091314,-68.278778,"Canoabo, Venezuela",
79,-21.9802716,-42.3625761,"Cantagalo, Rio de Janeiro, Brazil",
80,10.4805937,-66.9036063,"Caracas, Venezuela",
554,36.5552,121.9233,"Carmel-by-the-Sea, California",
81,-33.5482466,-71.6045745,"Cartagena, Chile",
82,45.8144729,9.0319407,"Cavallasca, Italy",
83,-11.9947642,-76.7682775,"Chaclacayo, Lima, Peru",
84,48.956682,4.363073,"Chalons-en-Champagne, France",
85,48.8265,2.405,"Charenton-le-Pont, France",
558,32.7765,79.9311,"Charleston, South Carolina",
499,38.0293,78.4767,"Charlottesville, Virginia",
86,48.771896,2.270748,"Chatenay-Malabry, France",
87,53.7117479,28.4244728,"Chervyen, Belarus",
88,41.8781136,-87.6297982,"Chicago, Illinois",
89,-36.6062618,-72.1023351,"Chillan, Chile",
